"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_km","duration_seconds","rpe"
"Evening Workout","31 May 2026, 15:28","31 May 2026, 15:31","","Skullcrusher (Dumbbell)",,"",2,"normal",22.51,12,,,
"Evening Workout","31 May 2026, 15:28","31 May 2026, 15:31","","Bent Over Row (Dumbbell)",,"",0,"normal",22.51,12,,,
"Evening Workout","31 May 2026, 15:28","31 May 2026, 15:31","","Bent Over Row (Dumbbell)",,"",1,"normal",22.51,12,,,
"Evening Workout","31 May 2026, 15:28","31 May 2026, 15:31","","Bent Over Row (Dumbbell)",,"",2,"failure",22.51,10,,,
"Afternoon Workout","30 May 2026, 09:59","30 May 2026, 10:20","","Squat (Barbell)",,"",0,"normal",134.99,5,,,
"Afternoon Workout","30 May 2026, 09:59","30 May 2026, 10:20","","Squat (Barbell)",,"",1,"normal",184.99,5,,,
"Afternoon Workout","30 May 2026, 09:59","30 May 2026, 10:20","","Squat (Barbell)",,"",2,"normal",205.01,5,,,
"Afternoon Workout","30 May 2026, 09:59","30 May 2026, 10:20","","Squat (Barbell)",,"",3,"normal",214.99,5,,,
"Afternoon Workout","30 May 2026, 09:59","30 May 2026, 10:20","","Squat (Barbell)",,"",4,"normal",220,6,,,
"Afternoon Workout","30 May 2026, 09:59","30 May 2026, 10:20","","Bench Press (Barbell)",,"",0,"normal",114.99,8,,,
"Afternoon Workout","30 May 2026, 09:59","30 May 2026, 10:20","","Bench Press (Barbell)",,"",1,"normal",114.99,8,,,
"Afternoon Workout","30 May 2026, 09:59","30 May 2026, 10:20","","Bench Press (Barbell)",,"",2,"normal",114.99,4,,,
"Pull Day","25 May 2026, 13:16","25 May 2026, 14:12","","Deadlift (Barbell)",,"",0,"normal",255.01,8,,,
"Pull Day","25 May 2026, 13:16","25 May 2026, 14:12","","Deadlift (Barbell)",,"",1,"normal",255.01,8,,,
"Pull Day","25 May 2026, 13:16","25 May 2026, 14:12","","Deadlift (Barbell)",,"",2,"normal",255.01,8,,,
"Pull Day","25 May 2026, 13:16","25 May 2026, 14:12","","Overhead Press (Barbell)",,"",0,"normal",75,8,,,
"Pull Day","25 May 2026, 13:16","25 May 2026, 14:12","","Overhead Press (Barbell)",,"",1,"normal",80.01,8,,,
"Pull Day","25 May 2026, 13:16","25 May 2026, 14:12","","Overhead Press (Barbell)",,"",2,"normal",80.01,8,,,
"Pull Day","25 May 2026, 13:16","25 May 2026, 14:12","","Side Plank",,"",0,"normal",,,,30,
"Pull Day","25 May 2026, 13:16","25 May 2026, 14:12","","Side Plank",,"",1,"normal",,,,30,
"Pull Day","25 May 2026, 13:16","25 May 2026, 14:12","","Side Plank",,"",2,"normal",,,,30,
"Push Day!","22 May 2026, 11:45","22 May 2026, 16:17","","Squat (Barbell)",,"",0,"normal",184.99,8,,,
"Push Day!","22 May 2026, 11:45","22 May 2026, 16:17","","Squat (Barbell)",,"",1,"normal",195,8,,,
"Push Day!","22 May 2026, 11:45","22 May 2026, 16:17","","Squat (Barbell)",,"",2,"normal",205.01,8,,,
"Push Day!","22 May 2026, 11:45","22 May 2026, 16:17","","Bench Press (Barbell)",,"",0,"normal",95,8,,,
"Push Day!","22 May 2026, 11:45","22 May 2026, 16:17","","Bench Press (Barbell)",,"",1,"normal",105.01,8,,,
"Push Day!","22 May 2026, 11:45","22 May 2026, 16:17","","Bench Press (Barbell)",,"",2,"normal",105.01,8,,,
"Push Day!","22 May 2026, 11:45","22 May 2026, 16:17","","Pull Up (Assisted)",,"",0,"normal",42.51,5,,,
"Push Day!","22 May 2026, 11:45","22 May 2026, 16:17","","Pull Up (Assisted)",,"",1,"normal",42.51,5,,,
"Push Day!","22 May 2026, 11:45","22 May 2026, 16:17","","Pull Up (Assisted)",,"",2,"normal",47.51,5,,,
"Push Day!","22 May 2026, 11:45","22 May 2026, 16:17","","Russian Twist (Bodyweight)",,"",0,"normal",,20,,,
"Push Day!","22 May 2026, 11:45","22 May 2026, 16:17","","Russian Twist (Bodyweight)",,"",1,"normal",,20,,,
"Push Day!","22 May 2026, 11:45","22 May 2026, 16:17","","Russian Twist (Bodyweight)",,"",2,"normal",,20,,,
"Push Day!","22 May 2026, 11:45","22 May 2026, 16:17","","Bent Over Row (Dumbbell)",,"",0,"normal",30,12,,,
"Push Day!","22 May 2026, 11:45","22 May 2026, 16:17","","Bent Over Row (Dumbbell)",,"",1,"normal",30,12,,,
